Model_type,Window_size,Movement,Algorithm,Dataset_size,Features,RMSE,R2,RMSE2,R22
LOR,20,10,1,108,1,7.60275733063586,-2.50659408556403,7.07237655665411,0.778167108913986
LOR,10,10,1,270,"28,7",8.25649675553616,0.302396559594569,5.00966873316374,0.60409500028099
LOR,20,1,4,4547,41,11.2395240123993,0.559260075485347,11.1546620869222,0.555163535321867
LOR,20,1,2,8088,42,9.3645394171433,0.487320189248367,8.70410886005824,0.541802885623488
LOR,20,10,4,454,32,12.0392842606497,0.453302484875559,11.8236160858429,0.539724127768367
LOR,20,10,5,5454,41,8.18553652226989,0.469641491620697,7.78815613183164,0.510211306916634
LOR,20,1,6,11628,42,8.22902614114941,0.46320481364787,7.83057787844407,0.491868949322416
LOR,10,10,4,830,30,10.6494548119946,0.404381752901144,10.4812927074927,0.490600515128347
LOR,20,20,5,2790,42,8.16642767635451,0.468115491105679,7.81776156182087,0.483648102001281
LOR,10,3,1,1008,25,8.80311953115374,0.341796635321578,6.46771046047218,0.477930495792595
LOR,10,10,3,1329,31,9.47067209785327,0.411915457203743,9.27268492179794,0.474578168946881
LOR,20,7,5,7857,42,8.35015018489436,0.446722984580075,8.24138543618644,0.471899328883965
LOR,20,10,3,2142,35,9.04775120342745,0.467102439330115,9.64260493904452,0.461519735634516
LOR,20,10,2,799,33,9.88565932846914,0.419073285903105,9.15215334363378,0.456166145735905
LOR,20,1,5,54423,42,8.29334115908583,0.455854904410908,8.1664001006678,0.45406856792556
LOR,10,3,6,4446,32,8.68234440454481,0.362350270764701,7.87367533242032,0.452597466914708
LOR,20,7,6,1710,36,8.31194431015111,0.435012308519084,8.40363973866196,0.438546704197939
LOR,10,10,5,2115,31,8.56732653977227,0.370668478114303,8.19244646694364,0.435663999146878
LOR,20,7,3,3056,42,9.39820343599454,0.436045675907333,9.62981569369262,0.430487149070679
LOR,20,1,3,21169,41,9.22293650297714,0.463325591779457,9.33858386502838,0.430159473522775
LOR,10,3,3,4464,29,10.0535919016389,0.369786062109868,9.44457671081705,0.424430559687099
LOR,10,10,2,1051,33,9.49178418949318,0.38447487419261,8.41455688347402,0.423301628311201
LOR,5,2,5,7943,29,11.6824850645245,0.353828921885805,11.3500098332838,0.406244642329708
LOR,10,1,3,13354,42,9.75060817924824,0.401591748486314,10.0258359348319,0.401858660628217
LOR,10,1,2,10751,42,9.55379617310142,0.390213925529523,9.65700390025607,0.400147786602138
LOR,10,3,2,3517,32,9.61024902177079,0.379052918754054,9.330800674719,0.393901888830003
LOR,20,7,4,634,29,11.6304629418118,0.532817636438248,13.2332092591672,0.39309280302155
LOR,5,1,4,10878,37,13.847170100838,0.376601570665469,13.7555147302991,0.392293884690153
LOR,10,1,4,8187,42,10.9802730144236,0.422559409556594,11.1507186285759,0.389282893172949
LOR,10,1,6,13617,42,8.57959977430907,0.379332154841205,8.86004010547505,0.38621683284864
LOR,5,5,2,1594,27,12.190123958529,0.341080829882655,11.1012460816819,0.385643374757457
LOR,20,20,3,1085,"27,26",8.87287315936269,0.468758385074503,11.301584760009,0.384912719668164
LOR,20,20,4,233,15,11.6889320326626,0.432308088408518,14.8113280723792,0.382288339421034
LOR,10,3,5,7524,34,8.6920530899664,0.357872013136496,8.58356768948362,0.381965401321523
LOR,5,1,3,10989,39,13.7619742285315,0.376946334187362,13.9741855265848,0.378779023563035
LOR,10,5,2,2110,42,9.55254403424118,0.387832371007146,9.12370476393752,0.376971002483238
LOR,10,5,5,4257,41,8.4835316916654,0.388038078122404,9.05811360576427,0.372578520326771
LOR,5,3,1,2201,27,11.6905850535785,0.363743841432208,10.7930613798765,0.368935171965402
LOR,5,1,2,7984,31,11.8515648337919,0.365122326518678,11.527728334743,0.367699034400369
LOR,10,1,5,22005,42,8.57146789920618,0.382564496152774,8.68866344503134,0.367194953724864
LOR,5,1,1,7155,42,11.6804513786538,0.355986453667008,11.7576075692576,0.363030964250517
LOR,10,1,1,3042,32,8.45206909898991,0.395762166865149,8.67648867316183,0.361307175254254
LOR,10,5,4,1644,34,10.743409714617,0.432479649353137,11.4977118728771,0.360654120297523
LOR,5,5,1,1373,26,11.9204511175323,0.337912223669669,10.1086368580187,0.360174648160553
LOR,5,1,5,15863,42,11.6799646382362,0.358909786030069,11.5432541333053,0.359884383029293
LOR,5,2,3,5499,37,13.7355041259478,0.3777050121846,14.1649411631828,0.357349360551277
LOR,5,2,4,5445,37,13.8708158105114,0.377638160287658,13.602944628834,0.354324499712821
LOR,5,5,5,3227,27,11.8447400452345,0.338518808419171,10.8569140764509,0.352256261978787
LOR,10,5,3,2655,"32,29",9.79317117640526,0.406187923423995,8.20133572324967,0.351869085941467
LOR,5,2,1,3600,24,11.7525323094392,0.352735844133457,11.9136212747445,0.347680467992776
LOR,10,3,4,2738,33,11.0304669616868,0.414479700096403,11.0838410741867,0.346093619509087
LOR,5,5,6,1706,25,11.6536698678279,0.352578468620517,11.0728149849107,0.345518796601673
LOR,5,1,6,8352,31,11.6485046716782,0.361444655030406,11.1565058251694,0.342837461676437
LOR,5,3,4,3542,27,14.2157134933136,0.358371930410653,14.128964623982,0.340929480099555
LOR,5,3,3,3635,31,14.020217254329,0.358248155850101,14.1360822734759,0.338080546947844
LOR,5,2,2,3978,29,11.8352214155775,0.356450055411149,11.7298175055378,0.336744296758948
LOR,5,3,5,5243,29,11.7856749783985,0.341785927438824,12.2660052030591,0.334032808120302
LOR,10,10,6,1314,30,8.36982327670738,0.402331236224086,9.27193135999209,0.323993860212231
LOR,20,1,1,765,"42,36",8.21636760653585,0.442827734150576,10.0985182156164,0.322346775938892
LOR,5,3,2,2666,24,11.9928975859969,0.356997809032124,12.0872937503916,0.311502984117631
LOR,20,10,6,1143,35,8.54756362769438,0.411189657814139,8.85606997600972,0.300968334420323
LOR,20,20,2,409,9,9.40698721024967,0.411870476567139,12.5942142025817,0.298952911722534
LOR,5,2,6,4140,37,11.612093671236,0.350623213297509,11.9401605585428,0.298933778495337
LOR,20,7,1,108,"4,5",7.72301832218913,-1.64977713148541,13.2461275233401,0.297281011994379
LOR,5,3,6,2822,23,11.6496220541416,0.3584168967838,12.2477047962013,0.279834144740618
LOR,20,7,2,1172,28,9.61428499639274,0.455754056431272,9.77347882703137,0.26744535965966
LOR,5,5,4,2181,39,13.9860743544307,0.364722783537195,15.078559490919,0.254586196481332
LOR,5,5,3,2203,"27,18",14.0941642928194,0.357435687529121,14.066428762758,0.253811548608796
LOR,20,20,6,585,"24,26",7.90171869316841,0.478699879872302,9.84366433847466,0.245401837988747
LOR,10,5,6,2664,"32,33",8.41445762548083,0.39421076000651,9.51197283533034,0.217872936446266
LOR,10,5,1,576,23,8.71112450756283,0.325786109404458,9.81462600222681,0.206060849292321
LOR,20,20,0,9945,35,6.79784532054977,0.140344445177666,7.39719121728364,0.182967892503673
LOR,20,10,0,19692,41,6.82450558634807,0.150511986136893,6.78641597913164,0.160333557927905
LOR,20,1,0,195121,42,6.79256712520522,0.159349216538472,6.8323101099394,0.160140767012455
LOR,20,7,0,28045,41,6.7967703482489,0.156339170253896,7.0586876447843,0.154476901022862
LOR,10,3,0,65836,42,6.30220180880109,0.097604902249777,6.17454740269297,0.114972763757031
LOR,10,10,0,19890,40,6.26094563280067,0.092355317593362,6.44145105245266,0.108525753510654
LOR,10,1,0,197110,42,6.2986169763428,0.103164673663675,6.31448518412027,0.094856737763132
LOR,10,5,0,39582,41,6.33796278470292,0.0993961025568,5.90020620066787,0.087031090631241
LOR,5,2,0,99053,35,6.44903431041486,0.064199578032139,6.3469989179068,0.066931416864122
LOR,5,1,0,198105,41,6.42995158303365,0.066604216139645,6.51619791667457,0.065020832900545
LOR,5,3,0,66035,41,6.42874448303509,0.06510324351151,6.44132613571486,0.06334623920169
LOR,5,5,0,39780,41,6.46700973252461,0.063357856025473,5.96682408429323,0.044655962519843
LOR,20,20,1,36,"6,2",17.6394415532166,-18.2621219896296,11.041236456844,0.020899375345491
