Model_type,Window_size,Movement,Algorithm,Dataset_size,Features,RMSE,R2,RMSE2,R22
SVR,20,1,4,4547,40,0.257443060111201,0.475822127514289,0.253956061054754,0.473350755019021
SVR,20,7,4,634,40,0.269512255409682,0.428146872377932,0.30121004835798,0.272147510347816
SVR,20,10,4,454,41,0.280682093844502,0.351501570049134,0.2707342787237,0.412872598917188
SVR,20,20,4,233,41,0.274285330311952,0.310732215572977,0.323337763126625,0.273811315343566
,,,,,,,,,
SVR,20,1,1,765,40,0.270259894316921,0.187260093338957,0.27580294303089,0.171050177899558
SVR,20,1,2,8088,40,0.239769491852236,0.374096670448563,0.231216488800646,0.402231765330431
SVR,20,1,3,21169,42,0.202272580242975,0.277293391962582,0.205312633739247,0.255507052135413
SVR,20,1,4,4547,40,0.257443060111201,0.475822127514289,0.253956061054754,0.473350755019021
SVR,20,1,6,11628,42,0.238314217099683,0.380627621662186,0.337557959181725,-0.299141025295567
